-0.4,-1.32
1.7,-0.04
0.53,-0.07
-1.9,1.09
0.53,0.12
1.85,0.17
-1.35,-0.46
0.4,-0.15
1.73,0.32
-0.67,-0.71
0.21,-0.03
0.26,-0.59
-1.45,-0.04
0.09,-1.06
-1.17,0.46
-0.25,-1.42
-1.71,0.7
0.42,0.25
-1.23,-0.21
1.34,0.07
-0.98,-1.17
-1.9,0.84
0.39,-0.71
-0.71,-1.32
1.82,-0.1
0.79,0.18
1.65,0.39
-1.65,1
1.01,0.03
0.56,0.39
-1.64,0.98
0.89,0.29
-1.23,0.2
-1.32,0.46
-0.1,-0.85
-0.68,-1.04
1.12,0.25
-1.79,1.09
-1.39,1.17
-1.79,1.71
1.37,0.15
-0.76,-0.64
0.75,0.34
-1.67,0.39
-0.07,-0.65
0.4,-0.17
1.06,0.56
-0.96,-0.35
0.98,0.42
-0.39,-1.15
-0.51,-1.4
1.5,0.32
-0.84,-0.85
1.76,0.34
-0.28,-1.09
-1.59,1.14
-0.07,-0.75
-0.81,-0.43
-0.5,-1.1
-1.84,1.54
-0.84,-0.84
1.37,0.35
-1.59,1.56
-1.12,-0.79
-0.46,-0.87
-0.87,-1.07
-1.46,0.81
-1.59,0.1
0.29,-0.4
-0.01,-1.1
0.85,0.51
-1.45,0.34
-1.26,0.34
1.37,0.26
0,-0.79
-1.07,0.1
1.35,0.51
0.82,0.35
-1.67,1.35
0.82,0.09
0.51,-0.03
0.07,-0.75
-0.07,-1.01
0.35,-0.07
-0.73,-0.15
-1.64,1.39
-0.67,-0.82
-0.29,-1.03
0.75,0.51
-0.84,-0.64
-1.4,0.1
-1.07,0.07
-0.21,-1.21
-1.45,0.98
1.2,0.45
-0.28,-1.1
0.09,-0.26
-1.32,0.5
1.12,0.34
-1.53,0.54
-1.65,1.64
1.75,0.04
0.7,0
0.89,0.09
-1.29,0
-1.73,0.9
1,0.51
-1.14,-0.14
1.7,0.21
-0.98,-0.64
-0.92,-0.23
-0.23,-0.89
-0.37,-1.34
1.48,0.03
0.51,-0.28
-1.04,0.32
-1.56,0.85
1.57,0.42
-1.26,0.76
-1.81,1.25
