-0.87,0.7,0.0,0.0,1.0
-0.62,-0.78,1.0,0.0,0.0
0.73,1.09,0.0,0.0,1.0
0.32,-0.2,1.0,0.0,0.0
0.18,-1.07,1.0,0.0,0.0
-0.45,-0.51,1.0,0.0,0.0
0.28,0.89,0.0,0.0,1.0
1.67,0.75,0.0,1.0,0.0
-0.21,0.95,0.0,0.0,1.0
1.48,0.01,0.0,1.0,0.0
1.75,1.07,0.0,1.0,0.0
1.64,1.78,0.0,1.0,0.0
0.76,-1.28,1.0,0.0,0.0
-0.56,1.17,0.0,0.0,1.0
1.73,1.59,0.0,1.0,0.0
1.1,-0.7,1.0,0.0,0.0
1.67,0.62,0.0,1.0,0.0
0.17,-0.62,1.0,0.0,0.0
0.64,1.71,0.0,0.0,1.0
-1.73,-0.71,0.0,0.0,1.0
0.17,-0.48,1.0,0.0,0.0
1.82,0.92,0.0,1.0,0.0
-1.21,0.5,0.0,0.0,1.0
1.29,0.1,0.0,1.0,0.0
-1.78,-0.2,0.0,0.0,1.0
1.42,0.64,0.0,1.0,0.0
-0.21,1.21,0.0,0.0,1.0
-0.06,1.39,0.0,0.0,1.0
0.03,-1.92,1.0,0.0,0.0
1.15,0.6,0.0,1.0,0.0
-0.75,0.95,0.0,0.0,1.0
1.51,0.85,0.0,1.0,0.0
1.5,0.43,0.0,1.0,0.0
1.28,-0.5,1.0,0.0,0.0
1.1,0.29,0.0,1.0,0.0
-1.48,-0.65,0.0,0.0,1.0
1.18,-0.98,1.0,0.0,0.0
-1.53,0.62,0.0,0.0,1.0
-0.67,-0.32,1.0,0.0,0.0
0.89,-0.37,1.0,0.0,0.0
1.54,0.2,0.0,1.0,0.0
0.4,1.53,0.0,0.0,1.0
-0.62,0.5,0.0,0.0,1.0
1.84,1.73,0.0,1.0,0.0
-0.04,-0.35,1.0,0.0,0.0
-0.5,0.79,0.0,0.0,1.0
-0.31,1.51,0.0,0.0,1.0
1.7,0.82,0.0,1.0,0.0
1.29,0.34,0.0,1.0,0.0
0.5,-1.04,1.0,0.0,0.0
1.62,0.81,0.0,1.0,0.0
1.76,1.67,0.0,1.0,0.0
-0.35,-1,1.0,0.0,0.0
1.03,-0.53,1.0,0.0,0.0
-0.35,-0.64,1.0,0.0,0.0
1.31,0.35,0.0,1.0,0.0
0.68,-1.68,1.0,0.0,0.0
-0.98,0.28,0.0,0.0,1.0
-0.15,-0.17,1.0,0.0,0.0
-0.01,0.92,0.0,0.0,1.0
0.46,-1.68,1.0,0.0,0.0
1,0.59,0.0,1.0,0.0
0.51,-0.46,1.0,0.0,0.0
-0.15,-0.68,1.0,0.0,0.0
1.73,0.17,0.0,1.0,0.0
1.62,0.35,0.0,1.0,0.0
0.96,-1.06,1.0,0.0,0.0
0.06,-1.68,1.0,0.0,0.0
-1.48,-1.75,0.0,0.0,1.0
0.18,-1.39,1.0,0.0,0.0
1.12,0.2,0.0,1.0,0.0
-1.23,-1.32,0.0,0.0,1.0
-0.26,-0.39,1.0,0.0,0.0
1.82,1.48,0.0,1.0,0.0
-0.64,-0.56,1.0,0.0,0.0
