-1.56,0.93,0.0
1.43,-1.29,0.0
1.03,0.59,1.0
0.21,-0.04,1.0
-0.62,1.25,0.0
1.21,0.35,1.0
-0.1,-0.26,1.0
-1.59,1.75,0.0
-1.45,1.71,0.0
0.79,-1.93,0.0
0.32,0.28,1.0
0.57,0.4,1.0
0.75,-0.07,1.0
-0.09,0.15,1.0
1.79,1.15,0.0
0.2,-0.18,1.0
1.85,0.34,0.0
-0.53,-1.25,0.0
-0.4,0.54,1.0
0.45,0,1.0
0.04,0.59,1.0
0.07,-0.81,0.0
-0.28,0.78,1.0
0.21,1.53,0.0
1.14,0.14,1.0
-0.51,0.06,1.0
-1.21,0.76,0.0
0.35,0.64,1.0
-0.65,0.56,1.0
1.48,1.31,0.0
1.6,1.73,0.0
0.82,0.68,1.0
-1.09,-1.18,0.0
1.75,-0.75,0.0
-0.14,0.32,1.0
-1.39,-1.93,0.0
0.84,-0.1,1.0
-0.35,0.43,1.0
-0.57,0.31,1.0
0.51,-1.26,0.0
-0.31,-1.71,0.0
-1.48,1.25,0.0
-1.71,0.18,0.0
-0.31,0.7,1.0
0.07,0.98,1.0
0.92,0.42,1.0
0.71,1.73,0.0
-1.45,-0.92,0.0
1.43,1.01,0.0
0.6,0.1,1.0
0.07,-1.31,0.0
0.76,0.37,1.0
-0.9,0.93,0.0
0.07,0.09,1.0
0.95,0.48,1.0
1.31,1.57,0.0
-0.73,-0.68,0.0
0.17,0.37,1.0
-0.12,0.76,1.0
1.14,1.31,0.0
-0.45,-0.07,1.0
0.21,0.43,1.0
-0.01,0.25,1.0
0.04,1.82,0.0
-0.87,-1.56,0.0
0.57,-0.21,1.0
0.37,0.51,1.0
0.43,0.29,1.0
0.31,-1.68,0.0
1.25,-1.75,0.0
0.54,0.67,1.0
1.29,-0.73,0.0
1.75,-0.25,0.0
0.42,-1.06,0.0
-0.26,-0.98,0.0
1.01,-1.34,0.0
-0.28,1.32,0.0
0.62,-1.32,0.0
0.4,0.9,1.0
0.28,-0.09,1.0
-1.07,1.32,0.0
1.56,-0.26,0.0
1,0.23,1.0
-0.06,0.48,1.0
-0.18,-0.1,1.0
-0.53,0.2,1.0
0.9,0.15,1.0
-0.51,1.68,0.0
-0.76,0.28,1.0
0.25,0.78,1.0
1.68,0.67,0.0
-1.48,-0.43,0.0
-1.64,-1.39,0.0
0.76,-0.92,0.0
1.09,0.51,1.0
0.65,0.67,1.0
-0.37,0.17,1.0
-1.06,-0.23,0.0
0.59,1.42,0.0
-1.32,0.23,0.0
